Pressure,global_radiation,temp_mean(c),temp_min(c),temp_max(c),Wind_Speed,Wind_Bearing,normalized_label
986,0.4,8.1,6.2,10.3,38.64,160,2
986.1,0.17,4,0.1,8,27.16,169,2
986.2,0.31,6.4,2.5,10.4,0,0,0
986.3,0.15,10,8.6,7.5,30.59,130,2
986.3,0.19,1.1,-0.3,2,30.59,130,2
986.5,0.15,7.5,4.5,9.7,0,0,0
986.7,2.07,10.2,3.3,14.7,0,0,1
986.8,0.27,8.9,7.5,10.3,0,0,0
986.9,0.31,0.9,-1.1,5.4,32.2,160,3
986.9,0.18,0.7,-0.6,2.6,32.2,160,2
987,0.29,5.2,2.4,7.9,30.59,130,3
987,0.46,6.7,4.8,8.8,30.59,130,2
987,0.18,10.1,7.7,12.6,30.59,130,2
987.1,0.11,0.7,-0.2,1.5,25.76,150,2
987.4,0.19,10.2,8.4,11.2,26.11,147,2
987.4,0.19,10.2,8.4,11.2,28.98,160,2
987.4,0.11,7.6,6.2,10.7,26.11,147,2
987.4,0.11,7.6,6.2,10.7,28.98,160,2
987.4,0.14,0.9,-0.1,2.3,26.11,147,2
987.4,0.14,0.9,-0.1,2.3,28.98,160,2
987.5,0.45,10.2,7.1,13.2,0,0,1
987.5,0.57,7.2,3.6,11.4,0,0,1
987.5,0.17,6.1,2.6,11.2,0,0,0
987.5,0.23,4.8,2.1,8.8,0,0,0
987.7,0.18,5.2,2.3,6.6,0,0,0
987.7,0.18,8.2,6.9,9.4,0,0,0
987.7,0.13,6.1,5.2,7.2,0,0,0
987.8,0.21,10.5,7.9,13.5,20.93,160,2
987.8,1.39,11.6,6.4,15.8,20.93,160,2
987.8,0.28,8.8,5.5,10.6,20.93,160,2
987.8,0.34,6,4.4,6.8,20.93,160,2
987.8,0.21,9.8,7.5,13.2,20.93,160,2
987.8,0.45,7,4.6,9.8,20.93,160,2
987.9,2.65,9.9,5.5,14.4,0,0,1
987.9,0.12,0.8,-4.3,8,0,0,0
988.1,0.45,1.2,-2.3,6.8,0,0,0
988.1,0.29,5.3,-0.5,10.8,0,0,0
988.2,0.28,7.5,6.5,9,0,0,0
988.2,0.1,8.6,6.1,11.9,0,0,0
988.2,0.17,1.8,0.3,2.7,0,0,0
988.3,0.54,10.8,8,16,23.28,151,2
988.3,0.33,8.2,6.5,10.5,23.28,151,2
988.3,0.14,1.4,0.2,2.6,23.28,151,2
988.4,0.41,11.2,7.9,12.4,0,0,1
988.5,0.39,7.6,6.1,7.1,30.38,171,3
988.5,0.14,10.5,7.8,13.5,30.38,171,2
988.5,0.23,7.8,6.4,10.2,30.38,171,2
988.5,0.35,3.2,2.1,5.4,30.38,171,2
988.5,0.37,13.6,10.6,16,30.38,171,2
988.5,0.23,5.3,3.2,6.9,30.38,171,2
988.5,0.13,9.3,7.6,11.7,30.38,171,2
988.6,0.15,7.6,6.4,8.9,28.11,1,2
988.6,0.15,7.6,6.4,8.9,29.41,340,2
988.6,0.3,7.3,4.7,11.4,28.11,1,2
988.6,0.3,7.3,4.7,11.4,29.41,340,2
988.7,0.17,8.8,5.4,10,17.71,150,2
988.7,0.17,8.8,5.4,10,29.88,350,2
988.7,0.45,9.9,7.6,13.2,17.71,150,2
988.7,0.45,9.9,7.6,13.2,29.88,350,2
988.8,0.12,6.1,4.9,7.3,6.44,160,0
988.9,0.36,4,0.9,6.1,0,0,0
988.9,0.36,4,0.9,6.1,29.64,340,2
988.9,1.3,6.2,3.9,8.5,0,0,0
988.9,1.3,6.2,3.9,8.5,29.64,340,2
988.9,0.14,2.6,0.4,5.4,0,0,0
988.9,0.14,2.6,0.4,5.4,29.64,340,2
988.9,0.65,8.5,5.9,12,0,0,0
988.9,0.65,8.5,5.9,12,29.64,340,2
988.9,0.6,8.9,1.8,15.4,0,0,0
988.9,0.6,8.9,1.8,15.4,29.64,340,2
988.9,0.21,2,0.7,3.3,0,0,0
988.9,0.21,2,0.7,3.3,29.64,340,2
989,0.11,5.7,4.4,7.1,12.88,250,0
989.1,0.34,7.8,6.1,9.2,3.22,270,1
989.1,0.34,7.8,6.1,9.2,8.05,260,1
989.1,0.34,7.8,6.1,9.2,1.22,158,1
989.1,0.34,7.8,6.1,9.2,9.66,160,1
989.1,0.34,7.8,6.1,9.2,12.88,240,1
989.1,0.85,9.4,7.4,11,3.22,270,0
989.1,0.85,9.4,7.4,11,8.05,260,0
989.1,0.85,9.4,7.4,11,1.22,158,0
989.1,0.85,9.4,7.4,11,9.66,160,0
989.1,0.85,9.4,7.4,11,12.88,240,0
989.1,0.35,8.3,6.5,11.2,3.22,270,0
989.1,0.35,8.3,6.5,11.2,8.05,260,0
989.1,0.35,8.3,6.5,11.2,1.22,158,0
989.1,0.35,8.3,6.5,11.2,9.66,160,0
989.1,0.35,8.3,6.5,11.2,12.88,240,0
989.1,0.47,6.1,4.3,8.5,3.22,270,0
989.1,0.47,6.1,4.3,8.5,8.05,260,0
989.1,0.47,6.1,4.3,8.5,1.22,158,0
989.1,0.47,6.1,4.3,8.5,9.66,160,0
989.1,0.47,6.1,4.3,8.5,12.88,240,0
989.2,0.33,10.6,6.7,12.5,17.71,290,2
989.3,0.34,7.5,6.3,9.6,0,0,1
989.3,0.66,11.1,9.4,13.3,0,0,0
989.4,0.15,3.4,0.3,5.1,3.22,180,0
989.4,0.15,3.4,0.3,5.1,12.88,150,0
989.4,0.15,3.4,0.3,5.1,4.83,130,0
989.4,0.12,11.2,10.1,11.2,3.22,180,0
989.4,0.12,11.2,10.1,11.2,12.88,150,0
989.4,0.12,11.2,10.1,11.2,4.83,130,0
989.4,0.33,4.7,4.2,6.1,3.22,180,0
989.4,0.33,4.7,4.2,6.1,12.88,150,0
989.4,0.33,4.7,4.2,6.1,4.83,130,0
989.4,0.56,8.6,8.2,6,3.22,180,0
989.4,0.56,8.6,8.2,6,12.88,150,0
989.4,0.56,8.6,8.2,6,4.83,130,0
989.4,0.68,8.3,5,11.7,3.22,180,0
989.4,0.68,8.3,5,11.7,12.88,150,0
989.4,0.68,8.3,5,11.7,4.83,130,0
989.5,0.18,10.4,5.7,15.1,6.44,260,1
989.5,0.37,10,6.7,10.4,6.44,260,0
989.5,0.15,6.6,3.7,7.6,6.44,260,0
989.6,0.39,3.1,-1.5,7.7,0,0,1
989.6,0.22,0.6,-2.8,3.9,0,0,0
989.7,1.19,9.7,6.6,12.7,25.76,120,2
989.7,1.19,9.7,6.6,12.7,22.54,280,2
989.7,0.82,9.8,6.3,11.6,25.76,120,2
989.7,0.82,9.8,6.3,11.6,22.54,280,2
989.7,0.61,3.9,1.2,4.7,25.76,120,2
989.7,0.61,3.9,1.2,4.7,22.54,280,2
989.8,0.13,7.6,5.5,10,28.18,289,2
989.8,0.13,7.6,5.5,10,23.59,253,2
989.8,0.21,4.5,0.4,7.7,28.18,289,2
989.8,0.21,4.5,0.4,7.7,23.59,253,2
989.8,0.73,1.5,-1.9,6.2,28.18,289,2
989.8,0.73,1.5,-1.9,6.2,23.59,253,2
989.8,0.05,8.3,6.2,10.4,28.18,289,2
989.8,0.05,8.3,6.2,10.4,23.59,253,2
989.9,2.09,15.2,12,19.8,13.57,71,0
989.9,0.87,8,5.1,10.5,13.57,71,0
989.9,0.28,6.2,3.4,8.6,13.57,71,0
989.9,0.09,-0.1,-0.8,0.9,13.57,71,0
989.9,0.51,6.6,4.7,9.7,13.57,71,0
990,1.46,9.7,6.5,12.5,6.44,180,0
990,0.84,7.9,5.5,10.4,6.44,180,0
990,0.3,9.3,6.9,11.7,6.44,180,0
990,0.88,7.6,3.4,12.9,6.44,180,0
990,0.11,1.4,-0.2,2.5,6.44,180,0
990.1,0.41,9.1,8.4,9.1,0,0,1
990.1,1.73,3.2,0.4,7.6,0,0,1
990.1,0.56,2.4,0.7,4.2,0,0,0
990.2,0.57,9.6,8.3,12.1,30.07,19,3
990.2,0.26,10.9,8.4,13.5,30.07,19,3
990.2,0.88,10,8.1,9.6,30.07,19,2
990.2,0.83,15.4,13.1,17.8,30.07,19,2
990.2,0.16,7.6,5.5,9.4,30.07,19,2
990.2,0.48,7,5.1,10.3,30.07,19,2
990.3,0.68,8.4,6.8,8.8,0,0,1
990.3,0.37,0.7,-4.8,4.1,0,0,1
990.3,1.63,6.8,4.3,10.3,0,0,0
990.3,0.85,10.3,7.6,12.2,0,0,0
990.3,0.16,7.7,5.7,10,0,0,0
990.4,0.18,8.9,7.8,10.5,0,0,0
990.4,0.5,16.2,14.7,17.8,0,0,0
990.4,0.92,8.4,5.5,11.3,0,0,0
990.4,0.52,2.1,-0.7,5.8,0,0,0
990.5,1.39,7,4.1,9.9,0,0,1
990.5,0.4,2.5,0,4.7,0,0,0
990.5,0.23,6.3,2.2,10.8,0,0,0
990.5,0.39,4.3,2.8,6.3,0,0,0
990.6,0.54,3.4,1.2,5.9,8.05,230,1
990.6,0.54,3.4,1.2,5.9,16.1,300,3
990.6,1.53,6.9,5.1,11.1,8.05,230,0
990.6,1.53,6.9,5.1,11.1,16.1,300,2
990.6,1.55,11.9,6.8,16.8,8.05,230,0
990.6,1.55,11.9,6.8,16.8,16.1,300,2
990.6,0.21,1.2,0.6,1.7,8.05,230,0
990.6,0.21,1.2,0.6,1.7,16.1,300,2
990.6,0.82,9.4,5.6,12.5,8.05,230,0
990.6,0.82,9.4,5.6,12.5,16.1,300,2
990.7,0.27,4.4,2.1,6.8,16.1,140,3
990.7,0.27,4.4,2.1,6.8,26.85,170,3
990.7,0.14,0.1,-5.3,5.9,16.1,140,2
990.7,0.14,0.1,-5.3,5.9,26.85,170,2
990.7,0.2,9.8,7.6,10.6,16.1,140,2
990.7,0.2,9.8,7.6,10.6,26.85,170,2
990.7,0.12,3.6,0.7,6.5,16.1,140,2
990.7,0.12,3.6,0.7,6.5,26.85,170,2
990.7,0.94,2.3,-0.4,7,16.1,140,2
990.7,0.94,2.3,-0.4,7,26.85,170,2
990.8,0.89,2,-1,4.8,8.05,170,1
990.8,0.89,2,-1,4.8,12.88,160,1
990.8,0.89,2,-1,4.8,23.47,170,3
990.8,0.73,10.7,4.6,15,8.05,170,0
990.8,0.73,10.7,4.6,15,12.88,160,0
990.8,0.73,10.7,4.6,15,23.47,170,2
990.8,0.22,7.1,5.1,9.4,8.05,170,0
990.8,0.22,7.1,5.1,9.4,12.88,160,0
990.8,0.22,7.1,5.1,9.4,23.47,170,2
990.9,1.19,4.1,1,9.2,9.66,210,0
990.9,1.19,4.1,1,9.2,25.76,110,2
990.9,1.19,4.1,1,9.2,15.92,195,2
990.9,1.19,4.1,1,9.2,14.73,195,0
990.9,0.37,10.4,8.4,11.5,9.66,210,0
990.9,0.37,10.4,8.4,11.5,25.76,110,2
990.9,0.37,10.4,8.4,11.5,15.92,195,2
990.9,0.37,10.4,8.4,11.5,14.73,195,0
990.9,0.75,13,9.5,14.9,9.66,210,0
990.9,0.75,13,9.5,14.9,25.76,110,2
990.9,0.75,13,9.5,14.9,15.92,195,2
990.9,0.75,13,9.5,14.9,14.73,195,0
990.9,1.17,6.4,3.6,10.2,9.66,210,0
990.9,1.17,6.4,3.6,10.2,25.76,110,2
990.9,1.17,6.4,3.6,10.2,15.92,195,2
990.9,1.17,6.4,3.6,10.2,14.73,195,0
990.9,0.44,12.4,10.9,13.8,9.66,210,0
990.9,0.44,12.4,10.9,13.8,25.76,110,2
990.9,0.44,12.4,10.9,13.8,15.92,195,2
990.9,0.44,12.4,10.9,13.8,14.73,195,0
990.9,0.17,8,7.2,9.3,9.66,210,0
990.9,0.17,8,7.2,9.3,25.76,110,2
990.9,0.17,8,7.2,9.3,15.92,195,2
990.9,0.17,8,7.2,9.3,14.73,195,0
990.9,0.53,14.1,11.9,17.2,9.66,210,0
990.9,0.53,14.1,11.9,17.2,25.76,110,2
990.9,0.53,14.1,11.9,17.2,15.92,195,2
990.9,0.53,14.1,11.9,17.2,14.73,195,0
991,0.32,7.8,6.5,10,0,0,0
991.1,0.28,7.2,4.7,9.8,4.83,240,1
991.1,0.28,7.2,4.7,9.8,17.71,190,3
991.1,0.37,9.6,8.1,12.3,4.83,240,0
991.1,0.37,9.6,8.1,12.3,17.71,190,2
991.1,0.23,6,4,7.8,4.83,240,0
991.1,0.23,6,4,7.8,17.71,190,2
991.1,0.8,2.2,0.3,4.5,4.83,240,0
991.1,0.8,2.2,0.3,4.5,17.71,190,2
991.2,0.36,-0.3,-2.7,2,16.1,150,3
991.2,0.36,-0.3,-2.7,2,15.84,160,3
991.2,0.69,5.8,2.2,10.3,16.1,150,3
991.2,0.69,5.8,2.2,10.3,15.84,160,3
991.2,0.49,4.5,0.3,7.4,16.1,150,2
991.2,0.49,4.5,0.3,7.4,15.84,160,2
991.2,0.44,7.3,4.9,10.7,16.1,150,2
991.2,0.44,7.3,4.9,10.7,15.84,160,2
991.2,0.5,8.4,5.5,11.3,16.1,150,2
991.2,0.5,8.4,5.5,11.3,15.84,160,2
991.2,0.11,-1,-1.6,-0.4,16.1,150,2
991.2,0.11,-1,-1.6,-0.4,15.84,160,2
991.2,1.19,3.8,1.2,7.6,16.1,150,2
991.2,1.19,3.8,1.2,7.6,15.84,160,2
991.2,0.44,5.8,3.9,7.9,16.1,150,2
991.2,0.44,5.8,3.9,7.9,15.84,160,2
991.3,2.24,7.8,3.3,13.9,4.83,100,1
991.3,2.24,7.8,3.3,13.9,14.49,320,1
991.3,1.9,17.4,14,20.7,4.83,100,1
991.3,1.9,17.4,14,20.7,14.49,320,1
991.3,0.31,11.6,9.6,13.6,4.83,100,0
991.3,0.31,11.6,9.6,13.6,14.49,320,0
991.3,0.12,9,6.8,11.4,4.83,100,0
991.3,0.12,9,6.8,11.4,14.49,320,0
991.3,0.36,0.7,0.1,1.8,4.83,100,0
991.3,0.36,0.7,0.1,1.8,14.49,320,0
991.4,1.5,7.9,4.7,12.1,0,0,1
991.4,0.2,2.1,-0.8,4.4,0,0,0
991.4,0.37,2.6,0.5,5,0,0,0
991.4,0.12,8.6,6.7,11.1,0,0,0
991.4,0.16,9.3,6.7,12.6,0,0,0
991.4,0.08,2.6,-0.6,6,0,0,0
991.5,0.12,-0.5,-3.5,2.8,20.93,160,3
991.5,0.12,-0.5,-3.5,2.8,31.89,161,3
991.6,1.38,9.6,6.7,12.7,11.95,153,0
991.6,1.38,9.6,6.7,12.7,1.61,170,0
991.6,1.38,9.6,6.7,12.7,11.27,60,0
991.6,1.38,9.6,6.7,12.7,12.88,310,0
991.6,0.23,9.4,7.2,12.5,11.95,153,0
991.6,0.23,9.4,7.2,12.5,1.61,170,0
991.6,0.23,9.4,7.2,12.5,11.27,60,0
991.6,0.23,9.4,7.2,12.5,12.88,310,0
991.6,0.23,8.3,2.2,14.3,11.95,153,0
991.6,0.23,8.3,2.2,14.3,1.61,170,0
991.6,0.23,8.3,2.2,14.3,11.27,60,0
991.6,0.23,8.3,2.2,14.3,12.88,310,0
991.6,0.32,13.3,9.3,16.1,11.95,153,0
991.6,0.32,13.3,9.3,16.1,1.61,170,0
991.6,0.32,13.3,9.3,16.1,11.27,60,0
991.6,0.32,13.3,9.3,16.1,12.88,310,0
991.7,0.42,5.8,3.2,6.5,3.22,50,1
991.7,0.42,5.8,3.2,6.5,28.98,340,3
991.7,0.28,9.3,7.5,12,3.22,50,0
991.7,0.28,9.3,7.5,12,28.98,340,2
991.7,0.89,8.5,6.4,12.1,3.22,50,0
991.7,0.89,8.5,6.4,12.1,28.98,340,2
991.7,0.2,0.2,-2.7,3.6,3.22,50,0
991.7,0.2,0.2,-2.7,3.6,28.98,340,2
991.7,1.32,10.4,8,14.8,3.22,50,0
991.7,1.32,10.4,8,14.8,28.98,340,2
991.8,1.74,10.4,8.2,17,14.49,140,1
991.8,1.74,10.4,8.2,17,7.66,169,1
991.8,1.74,10.4,8.2,17,20.93,350,3
991.8,0.43,4.8,0.6,8.9,14.49,140,1
991.8,0.43,4.8,0.6,8.9,7.66,169,1
991.8,0.43,4.8,0.6,8.9,20.93,350,3
991.8,0.29,8.7,5.6,11.2,14.49,140,0
991.8,0.29,8.7,5.6,11.2,7.66,169,0
991.8,0.29,8.7,5.6,11.2,20.93,350,2
991.8,0.13,5.4,3.3,8.8,14.49,140,0
991.8,0.13,5.4,3.3,8.8,7.66,169,0
991.8,0.13,5.4,3.3,8.8,20.93,350,2
991.8,0.21,8.2,5.9,10.4,14.49,140,0
991.8,0.21,8.2,5.9,10.4,7.66,169,0
991.8,0.21,8.2,5.9,10.4,20.93,350,2
991.8,0.48,8.3,2.4,14.9,14.49,140,0
991.8,0.48,8.3,2.4,14.9,7.66,169,0
991.8,0.48,8.3,2.4,14.9,20.93,350,2
991.8,0.95,12.9,10.4,15.4,14.49,140,0
991.8,0.95,12.9,10.4,15.4,7.66,169,0
991.8,0.95,12.9,10.4,15.4,20.93,350,2
991.9,0.23,9.8,6.1,13.4,27.37,350,2
991.9,0.23,9.8,6.1,13.4,10.59,100,0
991.9,0.32,7.5,3.2,10.9,27.37,350,2
991.9,0.32,7.5,3.2,10.9,10.59,100,0
991.9,0.38,14.2,11.8,16.5,27.37,350,2
991.9,0.38,14.2,11.8,16.5,10.59,100,0
991.9,0.18,10.2,7.1,14.3,27.37,350,2
991.9,0.18,10.2,7.1,14.3,10.59,100,0
991.9,0.32,3.5,0.6,5,27.37,350,2
991.9,0.32,3.5,0.6,5,10.59,100,0
991.9,0.06,4.7,0.8,9.2,27.37,350,2
991.9,0.06,4.7,0.8,9.2,10.59,100,0
992,0.38,9.2,7.3,12,9.6,321,1
992,0.38,9.2,7.3,12,11.54,64,1
992,0.38,9.2,7.3,12,11.43,293,1
992,0.38,9.2,7.3,12,8.05,140,1
992,0.13,10.8,8.5,13.2,9.6,321,1
992,0.13,10.8,8.5,13.2,11.54,64,1
992,0.13,10.8,8.5,13.2,11.43,293,1
992,0.13,10.8,8.5,13.2,8.05,140,1
992,1.18,11.2,8.5,17,9.6,321,0
992,1.18,11.2,8.5,17,11.54,64,0
992,1.18,11.2,8.5,17,11.43,293,0
992,1.18,11.2,8.5,17,8.05,140,0
992,0.5,10.3,8.1,12.2,9.6,321,0
992,0.5,10.3,8.1,12.2,11.54,64,0
992,0.5,10.3,8.1,12.2,11.43,293,0
992,0.5,10.3,8.1,12.2,8.05,140,0
992,1.29,12.9,7.4,19.7,9.6,321,0
992,1.29,12.9,7.4,19.7,11.54,64,0
992,1.29,12.9,7.4,19.7,11.43,293,0
992,1.29,12.9,7.4,19.7,8.05,140,0
992,1.11,5.9,3.4,9.2,9.6,321,0
992,1.11,5.9,3.4,9.2,11.54,64,0
992,1.11,5.9,3.4,9.2,11.43,293,0
992,1.11,5.9,3.4,9.2,8.05,140,0
992,0.35,8.2,6.6,10.2,9.6,321,0
992,0.35,8.2,6.6,10.2,11.54,64,0
992,0.35,8.2,6.6,10.2,11.43,293,0
992,0.35,8.2,6.6,10.2,8.05,140,0
992,0.19,6.5,4.9,8.1,9.6,321,0
992,0.19,6.5,4.9,8.1,11.54,64,0
992,0.19,6.5,4.9,8.1,11.43,293,0
992,0.19,6.5,4.9,8.1,8.05,140,0
992,0.12,10.2,7.5,13.5,9.6,321,0
992,0.12,10.2,7.5,13.5,11.54,64,0
992,0.12,10.2,7.5,13.5,11.43,293,0
992,0.12,10.2,7.5,13.5,8.05,140,0
992,0.87,9.3,6,11.9,9.6,321,0
992,0.87,9.3,6,11.9,11.54,64,0
992,0.87,9.3,6,11.9,11.43,293,0
992,0.87,9.3,6,11.9,8.05,140,0
992,0.11,2.5,0.2,4.6,9.6,321,0
992,0.11,2.5,0.2,4.6,11.54,64,0
992,0.11,2.5,0.2,4.6,11.43,293,0
992,0.11,2.5,0.2,4.6,8.05,140,0
992,0.11,3.7,1.4,5.9,9.6,321,0
992,0.11,3.7,1.4,5.9,11.54,64,0
992,0.11,3.7,1.4,5.9,11.43,293,0
992,0.11,3.7,1.4,5.9,8.05,140,0
992.1,1.19,3.2,1.3,7.1,14.49,150,1
992.1,1.19,3.2,1.3,7.1,11.27,250,1
992.1,1.19,3.2,1.3,7.1,11.27,260,1
992.1,1.19,3.2,1.3,7.1,3.22,130,1
992.1,1.19,3.2,1.3,7.1,25.76,350,3
992.1,1.19,3.2,1.3,7.1,10.38,214,1
992.1,0.37,5.2,3.3,8.2,14.49,150,1
992.1,0.37,5.2,3.3,8.2,11.27,250,1
992.1,0.37,5.2,3.3,8.2,11.27,260,1
992.1,0.37,5.2,3.3,8.2,3.22,130,1
992.1,0.37,5.2,3.3,8.2,25.76,350,3
992.1,0.37,5.2,3.3,8.2,10.38,214,1
992.1,0.08,2.1,-1.2,3.5,14.49,150,0
992.1,0.08,2.1,-1.2,3.5,11.27,250,0
992.1,0.08,2.1,-1.2,3.5,11.27,260,0
992.1,0.08,2.1,-1.2,3.5,3.22,130,0
992.1,0.08,2.1,-1.2,3.5,25.76,350,2
992.1,0.08,2.1,-1.2,3.5,10.38,214,0
992.1,0.98,10.1,4.7,16,14.49,150,0
992.1,0.98,10.1,4.7,16,11.27,250,0
992.1,0.98,10.1,4.7,16,11.27,260,0
992.1,0.98,10.1,4.7,16,3.22,130,0
992.1,0.98,10.1,4.7,16,25.76,350,2
992.1,0.98,10.1,4.7,16,10.38,214,0
992.1,0.23,2.2,0.4,2.9,14.49,150,0
992.1,0.23,2.2,0.4,2.9,11.27,250,0
992.1,0.23,2.2,0.4,2.9,11.27,260,0
992.1,0.23,2.2,0.4,2.9,3.22,130,0
992.1,0.23,2.2,0.4,2.9,25.76,350,2
992.1,0.23,2.2,0.4,2.9,10.38,214,0
992.2,0.73,6.5,2.3,10.3,11.27,170,1
992.2,0.73,6.5,2.3,10.3,11.16,176,1
992.2,0.73,6.5,2.3,10.3,22.54,250,3
992.2,0.73,6.5,2.3,10.3,9.66,280,1
992.2,0.73,6.5,2.3,10.3,8.05,110,1
992.2,0.73,6.5,2.3,10.3,17.71,20,3
992.2,0.73,6.5,2.3,10.3,12.88,340,1
992.2,0.73,6.5,2.3,10.3,16.07,169,3
992.2,0.46,2,-0.8,4.9,11.27,170,0
992.2,0.46,2,-0.8,4.9,11.16,176,0
992.2,0.46,2,-0.8,4.9,22.54,250,2
992.2,0.46,2,-0.8,4.9,9.66,280,0
992.2,0.46,2,-0.8,4.9,8.05,110,0
992.2,0.46,2,-0.8,4.9,17.71,20,2
992.2,0.46,2,-0.8,4.9,12.88,340,0
992.2,0.46,2,-0.8,4.9,16.07,169,2
992.2,0.12,7.2,5.4,8.5,11.27,170,0
992.2,0.12,7.2,5.4,8.5,11.16,176,0
992.2,0.12,7.2,5.4,8.5,22.54,250,2
992.2,0.12,7.2,5.4,8.5,9.66,280,0
992.2,0.12,7.2,5.4,8.5,8.05,110,0
992.2,0.12,7.2,5.4,8.5,17.71,20,2
992.2,0.12,7.2,5.4,8.5,12.88,340,0
992.2,0.12,7.2,5.4,8.5,16.07,169,2
992.2,1.19,2.9,1.1,5.2,11.27,170,0
992.2,1.19,2.9,1.1,5.2,11.16,176,0
992.2,1.19,2.9,1.1,5.2,22.54,250,2
992.2,1.19,2.9,1.1,5.2,9.66,280,0
992.2,1.19,2.9,1.1,5.2,8.05,110,0
992.2,1.19,2.9,1.1,5.2,17.71,20,2
992.2,1.19,2.9,1.1,5.2,12.88,340,0
992.2,1.19,2.9,1.1,5.2,16.07,169,2
992.2,0.14,7.2,6.5,8.6,11.27,170,0
992.2,0.14,7.2,6.5,8.6,11.16,176,0
992.2,0.14,7.2,6.5,8.6,22.54,250,2
992.2,0.14,7.2,6.5,8.6,9.66,280,0
992.2,0.14,7.2,6.5,8.6,8.05,110,0
992.2,0.14,7.2,6.5,8.6,17.71,20,2
992.2,0.14,7.2,6.5,8.6,12.88,340,0
992.2,0.14,7.2,6.5,8.6,16.07,169,2
992.2,0.18,1.1,0,2.2,11.27,170,0
992.2,0.18,1.1,0,2.2,11.16,176,0
992.2,0.18,1.1,0,2.2,22.54,250,2
992.2,0.18,1.1,0,2.2,9.66,280,0
992.2,0.18,1.1,0,2.2,8.05,110,0
992.2,0.18,1.1,0,2.2,17.71,20,2
992.2,0.18,1.1,0,2.2,12.88,340,0
992.2,0.18,1.1,0,2.2,16.07,169,2
992.2,0.18,7.7,6.4,9.9,11.27,170,0
992.2,0.18,7.7,6.4,9.9,11.16,176,0
992.2,0.18,7.7,6.4,9.9,22.54,250,2
992.2,0.18,7.7,6.4,9.9,9.66,280,0
992.2,0.18,7.7,6.4,9.9,8.05,110,0
992.2,0.18,7.7,6.4,9.9,17.71,20,2
992.2,0.18,7.7,6.4,9.9,12.88,340,0
992.2,0.18,7.7,6.4,9.9,16.07,169,2
